hometown,race,Hispanic,sexual_orientation,gender,trans,first_gen,disables,household_income,athlete,rotc,secondary_school,classes_ap,classes_ib,classes_honors,classes_dual,extracurriculars,ai,gap_year,admissions,other_univ,sat_binary,sat_score,act_binary,act_score,admissions_assistance,legacy,legacy_binary,three_reasons,activities,college_accepted,college_switch,pre_professional,commons_house,commons_house_wish,financial_aid,merit_scholar,loans,greek_life,political_ideology,divest,abolish_gl,administration_politics,affirmative_action,legacy_opinion,abortion,gender_affirming_care,gun_control,vote,sex,romantic_relationships,alcohol,weed,drugs,fake_id
Tennessee,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Private,7,My school did not offer,10+,3,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Music, Religious group, Student Government, Work/Internship (Paid)",Yes,No,EDI,"UTK, UGA, OSU",No,,Yes,36,No,No,No,"Location, Academics, Brand name/rankings","Campus tour, Commodore Launch",Peabody College of Education and Human Development,No,"Yes, on another pre-professional track",Gillette,Gillette,"Yes, more than half the cost of attendance",No,$0 ,No,4,5,3,1,4,1,2,2,6,"Yes, in Tennessee",No,3,Never,Never,None,N/A (I have never owned a fake ID)
Wisconsin,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,10+,My school did not offer,5,6,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Religious group, Speech and Debate",No,No,Regular Decision,,No,,No,,No,No,No,"Location, Academics, Post-grad opportunities",Campus tour,College of Arts of Science,No,"Yes, as a pre-law student",West,West,"Yes, more than half the cost of attendance",No,"$40,000 - $49,999",No,6,4,4,2,2,1,2,1,2,"Yes, in my home state/country",Yes,2,Never,Never,None,N/A (I have never owned a fake ID)
California,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Male,No,No,No,"$150,000 - $199,999",Yes,No,Private,6,My school did not offer,6,My school did not offer,"Athletics, Community Service, Religious group",Yes,No,Regular Decision,,No,,Yes,32,No,No,No,"Location, Academics, Campus","Campus tour, Commodore Launch",College of Arts of Science,"Yes, Peabody",No,West,West,No,No,$0 ,No,6,4,3,1,1,1,1,1,5,"Yes, in my home state/country",No,1,Once a month,Never,None,California
Texas,Asian/Pacific Islander,No,Heterosexual,Male,No,No,,"$50,000 - $74,999",No,No,Public,10+,My school did not offer,10+,2,"Academic Clubs/Competition, Athletics, Community Service, Music",No,No,Regular Decision,UT Austin,Yes,1570,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,School of Engineering,No,"Yes, as a pre-med student",West,West,"Yes, full cost of attendence",No,$0 ,No,3,7,5,4,5,1,6,6,5,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Florida,White/Caucasian,Yes,Heterosexual,Female,No,Yes,No,"$50,000 - $74,999",No,No,Public,10+,My school did not offer,10+,10+,Research,No,No,Waitlist,N/A,No,,No,,No,No,No,"Location, Faculty, Post-grad opportunities",MOSAIC,College of Arts of Science,No,"Yes, as a pre-law student",West,West,"Yes, full cost of attendence",No,$0 ,No,2,1,6,7,7,1,6,6,7,"Yes, in my home state/country",No,0,Never,Never,,N/A (I have never owned a fake ID)
Singapore,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Music, Model UN, Research, Speech and Debate",No,Yes,EDI,,Yes,,No,,No,No,No,"School size, Brand name/rankings, Campus",None,College of Arts of Science,No,No,West,West,No,No,$0 ,Not sure,3,5,4,1,5,3,7,6,7,I am registered to vote but do not vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Georgia,African American/Black,No,Bisexual/pansexual,Nonbinary or gender nonconforming,No,No,No,"$75,000 - $99,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Cultural and Affinity Clubs, Music",No,No,Waitlist,"University of Georgia, Florida State University",Yes,1460,Yes,33,No,No,No,"Location, Academics, Campus","Campus tour, Commodore Launch",Blair School of Music,No,No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in NPHC recruitment",1,7,2,3,5,1,7,7,7,"Yes, in my home state/country",Yes,0,Once a week,Never,,
New York,White/Caucasian,No,Heterosexual,Male,No,No,No,"$0 - $49,999",No,No,Public,8,My school did not offer,10+,1,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Student Government, Theater, Work/Internship (Paid)",No,No,Regular Decision,,No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,School of Engineering,No,No,Sutherland,Sutherland,"Yes, full cost of attendence","Yes, full tuition",$0 ,Not sure,4,7,2,4,5,1,7,7,7,I am registered to vote but do not vote,Yes,3,Never,Never,None,
Arizona,"White/Caucasian, Asian/Pacific Islander",No,Questioning/unsure,Female,No,No,No,"$0 - $49,999",No,No,Public,My school did not offer,My school did not offer,10+,9,"Community Service, Theater, Gaming Club",No,No,Regular Decision,"Univesity of Arizona, Arizona State University",Yes,1520,Yes,36,No,No,No,"Cost, Brand name/rankings, Campus",None,School of Engineering,No,No,Memorial,Memorial,"Yes, full cost of attendence","Yes, partial tuition","$10,000 - $14,999",No,3,5,3,4,4,3,7,6,5,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Oregon,"White/Caucasian, Middle Eastern/North African",No,Gay/lesbian,Female,No,No,Yes,"$0 - $49,999",No,No,Public,5,0,4,8,"Advocacy, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Journalism, Model UN, Student Government, Work/Internship (Paid)",No,No,Waitlist,"Grinell, University of Oregon, Emerson",Yes,1460,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,College of Arts of Science,No,No,West,West,"Yes, full cost of attendence",No,$0 ,Not sure,1,7,4,5,6,1,7,7,7,I am not eligible to vote,No,3,Once a month,Never,Adderall,N/A (I have never owned a fake ID)
Massachusetts,White/Caucasian,No,Questioning/unsure,Female,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Student Government, Enviornemtnal Club  ",No,No,EDI,,No,,No,,No,No,No,"Location, Academics, Brand name/rankings","Campus tour, Anchor Day, Commodore Launch, Anchor Day (admitted students day)",School of Engineering,No,No,West,Stambaugh,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",5,7,1,2,4,2,7,5,2,"Yes, in my home state/country",Yes,2,Twice a week,Once a semester,None,N/A (I have never owned a fake ID)
Wisconsin,White/Caucasian,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,10+,My school did not offer,2,My school did not offer,"Athletics, Community Service, Family Responsibilities, Religious group, Work/Internship (Paid)",Yes,No,EDII,"Minnesota Twin Cities, Madison, Florida State, Clemson, Alabama",No,,Yes,33,No,No,No,"Academics, Post-grad opportunities, Campus","Dore For A Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",East,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,2,5,4,5,6,3,5,4,6,"I am eligible to vote, but am not registered",Yes,4,Once a week,Once a week,None,Minnesota
Georgia,White/Caucasian,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Religious group, Research, Student Government",No,No,Waitlist,"University of Connecticut, Baylor University, Florida State University, Mercer University, Wheaton College, Grace College, Belmont University",Yes,1360,Yes,31,No,No,No,"Cost, Location, Campus",Campus tour,Peabody College of Education and Human Development,No,No,East,East,"Yes, more than half the cost of attendance",No,"$30,000 - $39,999",Not sure,4,4,4,3,4,2,1,1,7,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,Middle Eastern/North African,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Private,4,My school did not offer,My school did not offer,My school did not offer,"Athletics, Community Service",Yes,No,EDI,"University of Rochester, Lipscomb, and RPI",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings","Campus tour, 'Dore For A Day",School of Engineering,No,No,Gillette,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,2,3,1,6,6,3,7,4,7,"I am eligible to vote, but am not registered",No,0,Once a semester,Never,None,N/A (I have never owned a fake ID)
Thailand,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$50,000 - $74,999",No,No,Public,My school did not offer,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Internship (unpaid), Journalism, Music, Research, Speech and Debate, Student Government, Work/Internship (Paid)",Yes,No,Regular Decision,,No,,No,,No,No,No,"Cost, School size, Brand name/rankings","Commodore Launch, MOSAIC",College of Arts of Science,No,No,West,West,"Yes, more than half the cost of attendance","Yes, full tuition",$0 ,No,2,7,3,2,6,1,7,7,7,"Yes, in my home state/country",No,1,Once a semester,Never,None,N/A (I have never owned a fake ID)
Florida,White/Caucasian,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Public,10+,1,10+,10+,"Academic Clubs/Competition, Advocacy, Community Service, Internship (unpaid), Work/Internship (Paid)",No,No,EDI,Florida State University,Yes,1540,No,,No,No,No,"Cost, Location, Brand name/rankings",Commodore Launch,School of Engineering,No,No,Gillette,Gillette,"Yes, full cost of attendence",No,$0 ,No,2,7,5,1,5,2,7,5,7,"I am eligible to vote, but am not registered",No,0,Twice a week,Never,None,Massachusetts
Arizona,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$0 - $49,999",No,No,Charter,10+,My school did not offer,5,My school did not offer,"Athletics, Community Service, Family Responsibilities, Music, Work/Internship (Paid)",No,No,Regular Decision,A lot ,Yes,1440,Yes,33,No,No,No,"Cost, Location, Post-grad opportunities",Campus tour,School of Engineering,No,No,West,West,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,5,1,1,4,4,6,1,3,"I am eligible to vote, but am not registered",Yes,1,Never,Once a month,None,N/A (I have never owned a fake ID)
"Tokyo, Japan",Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Private,5,0,My school did not offer,1,"Academic Clubs/Competition, Community Service, Family Responsibilities, Journalism, Music, Model UN, Research, Speech and Debate, Student Government",Yes,No,Waitlist,"USC, UNC",No,,Yes,36,No,No,No,"Location, Academics, Faculty",None,College of Arts of Science,"Yes, Engineering",No,Hank Ingram,Hank Ingram,No,No,"$30,000 - $39,999",No,2,5,2,4,4,4,4,4,4,I am not eligible to vote,No,2,Never,Never,None,N/A (I have never owned a fake ID)
New Jersey,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$50,000 - $74,999",No,No,Public,7,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Community Service, Internship (unpaid), Research, Student Government, Work/Internship (Paid)",No,No,Waitlist,,Yes,1500,No,,No,No,No,"Cost, Academics, Brand name/rankings",Anchor Day (admitted students day),College of Arts of Science,No,"Yes, as a pre-med student",Stambaugh,Stambaugh,"Yes, more than half the cost of attendance",No,"$1-$4,999",No,5,4,3,3,4,3,5,5,5,I am registered to vote but do not vote,No,0,Never,Never,None,
Vermont,White/Caucasian,No,Heterosexual,Male,No,Yes,No,"$50,000 - $74,999",No,No,Public,7,My school did not offer,10+,2,"Community Service, Family Responsibilities, Work/Internship (Paid)",No,No,Regular Decision,"Husson, UVA",No,,No,,No,No,No,"Cost, Brand name/rankings, Campus",None,College of Arts of Science,No,"Yes, as a pre-law student",West,West,"Yes, full cost of attendence",No,$0 ,"Yes, I plan to participate in IFC recruitment",4,4,1,2,4,4,4,3,3,"I am eligible to vote, but am not registered",No,0,Once a week,Never,Adderall,N/A (I have never owned a fake ID)
Kentucky,Asian/Pacific Islander,No,Gay/lesbian,Female,No,Yes,No,"$0 - $49,999",No,No,Public,1,My school did not offer,4,1,"Academic Clubs/Competition, Cultural and Affinity Clubs, Dance, Family Responsibilities, Internship (unpaid), Music, Research, Theater",No,No,Regular Decision,"UofL, WKU, UC-Irvine",No,,Yes,34,No,No,No,"Cost, Location, Academics",None,College of Arts of Science,No,"Yes, as a pre-med student",North,North,"Yes, full cost of attendence",No,$0 ,No,2,4,2,5,6,1,7,7,7,"I am eligible to vote, but am not registered",Yes,1,Once a week,Never,None,
New York,African American/Black,No,Heterosexual,Female,No,Yes,No,"$50,000 - $74,999",No,No,Public,2,My school did not offer,0,3,"Academic Clubs/Competition, Community Service, Family Responsibilities, Internship (unpaid), Speech and Debate, Student Government, podcasting",No,No,EDI,,No,,No,,No,No,No,Cost,Commodore Launch,College of Arts of Science,"Yes, Engineering",No,Memorial,Hank Ingram,"Yes, full cost of attendence","Yes, full tuition",$0 ,Not sure,5,6,4,2,4,4,7,6,7,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
China (PRC),Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$150,000 - $199,999",No,No,Private,10+,My school did not offer,5,My school did not offer,"Academic Clubs/Competition, Internship (unpaid), Journalism, Research",Yes,No,Regular Decision,"University of Florida, University of Wisconsin-Madison, UCSD",No,,Yes,35,No,No,No,"Academics, Faculty, Brand name/rankings",None,College of Arts of Science,No,No,Hank Ingram,Hank Ingram,No,No,$0 ,Not sure,4,6,4,2,2,2,3,3,4,I am not eligible to vote,No,1,Never,Never,None,N/A (I have never owned a fake ID)
Florida,White/Caucasian,No,Questioning/unsure,Male,No,Yes,No,"$0 - $49,999",No,No,Public,6,My school did not offer,10+,10+,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Work/Internship (Paid)",No,No,EDII,"William Patterson University, University of South Florida, Florida State University",Yes,1490,No,,No,No,No,"Cost, Academics, Campus",Campus tour,College of Arts of Science,No,No,Murray,Murray,"Yes, full cost of attendence",No,$0 ,No,2,5,2,5,6,2,7,7,5,I am registered to vote but do not vote,No,2,Once a semester,Never,None,N/A (I have never owned a fake ID)
Tennessee,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$75,000 - $99,999",No,No,Public,10+,My school did not offer,10+,3,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Dance, Music",No,No,EDI,"Belmont University, University of Tennessee Knoxville, Middle Tennessee State University ",No,,Yes,33,No,No,No,"Location, Academics, Brand name/rankings",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",North,North,"Yes, more than half the cost of attendance",No,I don't know,Not sure,3,5,4,3,4,2,5,5,4,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Maryland,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,10+,0,10+,0,"Advocacy, Speech and Debate",No,No,Regular Decision,"Maryland, William and Mary, UConn ",Yes,1540,No,,No,No,No,"Cost, Academics, Brand name/rankings","Campus tour, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Gillette,Gillette,"Yes, less than half the cost of attendance",No,$0 ,"Yes, I plan to participate in IFC recruitment",3,3,1,5,5,4,7,5,7,"I am eligible to vote, but am not registered",Yes,5,Three times a week,Twice a week,Psilocybin (Shrooms),Connecticut
Maryland,Middle Eastern/North African,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,9,My school did not offer,2,7,"Advocacy, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Journalism, Research, Visual Art",Yes,No,EDII,"USC, UMD, UR, UMBC",No,,No,,No,No,No,"Cost, Location, Brand name/rankings","Dore For A Day, MOSAIC, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",Stambaugh,Stambaugh,"Yes, less than half the cost of attendance",No,"$1-$4,999",Not sure,2,6,5,5,4,2,7,4,7,"Yes, in my home state/country",,0,,,,
Tennessee,White/Caucasian,No,Heterosexual,Male,No,No,No,"$300,000 - $499,999",No,No,Public,5,6,8,0,"Academic Clubs/Competition, Athletics, Community Service, Music",Yes,No,Regular Decision,"University of Virginia, Purdue University, Bucknell University, University of Tennessee",Yes,1520,Yes,35,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings","Campus tour, Anchor Day, Commodore Launch, Anchor Day (admitted students day)",School of Engineering,No,No,Hank Ingram,Hank Ingram,No,"Yes, partial tuition",I don't know,Not sure,4,6,2,3,1,5,6,4,5,"Yes, in Tennessee",,1,Never,Never,,N/A (I have never owned a fake ID)
Connecticut,White/Caucasian,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Private,9,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Religious group, Student Government, Work/Internship (Paid)",No,No,Regular Decision,"University of Richmond, Wake Forest University, Villanova University, Elon University, University of Georgia",No,,No,,No,No,No,"Location, Academics, Campus",Anchor Day (admitted students day),College of Arts of Science,No,No,Stambaugh,Stambaugh,"Yes, more than half the cost of attendance",No,"$100,000 - $149,999","Yes, I plan to participate in Panhellenic recruitment",4,4,4,4,4,4,4,4,4,"I am eligible to vote, but am not registered",No,2,Never,Never,None,N/A (I have never owned a fake ID)
Massachusetts,White/Caucasian,Yes,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Private,8,My school did not offer,8,0,"Academic Clubs/Competition, Community Service, Family Responsibilities, Model UN, Speech and Debate",No,No,EDI,,No,,No,,No,No,No,"Location, Academics, Campus",Campus tour,Peabody College of Education and Human Development,No,No,Crawford,East,No,No,I don't know,No,3,6,4,4,6,3,7,7,7,"Yes, in my home state/country",No,0,Never,Never,Weed,N/A (I have never owned a fake ID)
Texas,White/Caucasian,No,Heterosexual,Female,No,No,No,"$200,000 - $299,999",No,No,Public,10+,0,10+,0,"Academic Clubs/Competition, Athletics, Cultural and Affinity Clubs, Dance, Journalism",No,No,EDI,,No,,Yes,34,No,No,No,"Cost, Academics, School size","Anchor Day, Anchor Day (admitted students day)",School of Engineering,No,No,Murray,East,No,No,$0 ,No,2,6,5,4,5,2,7,7,7,"Yes, in my home state/country",,1,,,,N/A (I have never owned a fake ID)
Tennessee,African American/Black,No,Heterosexual,Male,No,No,,"$50,000 - $74,999",No,No,Public,8,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Cultural and Affinity Clubs",No,No,Waitlist,"UVA, MTSU, Belmont, UGA UMICH",No,,Yes,34,No,No,No,"Cost, Location, Academics",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,No,4,5,3,2,7,3,4,2,5,"I am eligible to vote, but am not registered",,0,,,,
Japan,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$300,000 - $499,999",No,No,Public,4,My school did not offer,2,My school did not offer,"Community Service, Music, Research",No,No,Regular Decision,,No,,No,,No,No,No,"Location, Academics, School size, Faculty","Campus tour, Anchor Day, Anchor Day (admitted students day)",Blair School of Music,No,No,Crawford,Gillette,No,"Yes, partial tuition",$0 ,No,4,4,4,4,4,4,4,4,4,I am not eligible to vote,No,0,Once a week,Never,None,N/A (I have never owned a fake ID)
Nevada,White/Caucasian,No,Questioning/unsure,Female,No,No,No,"$50,000 - $74,999",No,No,Public,5,My school did not offer,10+,1,"Community Service, Dance, Music",No,No,EDI,,No,,Yes,33,No,No,No,"Cost, Academics, Faculty",Campus tour,Blair School of Music,No,No,Sutherland,Sutherland,"Yes, more than half the cost of attendance",No,"$30,000 - $39,999",No,3,6,4,5,5,1,7,7,7,"Yes, in my home state/country",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
North Carolina,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,7,My school did not offer,7,My school did not offer,"Athletics, Music",Yes,No,Regular Decision,"UNC, NC State, Emory",No,,Yes,33,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",Blair School of Music,No,"Yes, as a pre-med student",Sutherland,Hank Ingram,No,"Yes, partial tuition",$0 ,Not sure,6,1,3,1,1,5,6,2,6,"Yes, in my home state/country",No,1,Once a semester,Never,None,N/A (I have never owned a fake ID)
U.S. Territories,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Public,8,My school did not offer,1,My school did not offer,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs",No,No,EDI,,No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,Peabody College of Education and Human Development,No,No,North,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,Not sure,1,4,4,1,1,1,7,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Vietnam,Asian/Pacific Islander,No,Bisexual/pansexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,My school did not offer,My school did not offer,1,My school did not offer,"Academic Clubs/Competition, Community Service, Family Responsibilities, Internship (unpaid), Model UN, Speech and Debate, Student Government, Work/Internship (Paid)",No,No,Regular Decision,"Michigan State University, University of Florida, Colby College",Yes,1580,No,,No,No,No,"Location, Academics, Faculty",None,Peabody College of Education and Human Development,"Yes, Engineering",No,North,North,"Yes, full cost of attendence","Yes, full tuition",$0 ,Not sure,2,6,5,5,6,2,6,7,7,I am not eligible to vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Massachusetts,White/Caucasian,No,Gay/lesbian,Male,No,No,No,"$100,000 - $149,999",No,No,Public,3,My school did not offer,7,6,"Advocacy, Community Service, Speech and Debate, Student Government",No,No,Regular Decision,"Rhodes College, University of Vermont, Champlain College, Saint Michael's College, University of Denver, Emmanuel College, Emerson College",No,,No,,No,No,No,"Cost, Location, Academics",None,Peabody College of Education and Human Development,No,No,Stambaugh,Stambaugh,"Yes, more than half the cost of attendance",No,$0 ,No,2,6,4,5,4,2,7,7,7,"Yes, in my home state/country",Yes,0,Once a month,Once a month,None,N/A (I have never owned a fake ID)
Tennessee,"White/Caucasian, Middle Eastern/North African",No,Heterosexual,Male,No,No,Yes,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,10+,1,"Academic Clubs/Competition, Community Service, Model UN, Robotics",Yes,No,EDI,"Purdue - West Lafayette, UTK",No,,Yes,35,No,No,No,"Location, Post-grad opportunities, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",School of Engineering,No,No,Sutherland,Hank Ingram,"Yes, more than half the cost of attendance",No,I don't know,No,4,5,6,4,4,1,6,1,4,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Massachusetts,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,Yes,Public,7,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Music, Student Government, Theater, Work/Internship (Paid)",No,No,EDI,,Yes,1530,No,,No,No,No,"Location, Academics, Campus",Campus tour,College of Arts of Science,"Yes, Engineering",No,Hank Ingram,Hank Ingram,No,No,$0 ,"Yes, I plan to participate in Panhellenic recruitment",3,5,2,1,4,4,6,5,7,"Yes, in my home state/country",Yes,2,Twice a week,Never,,Massachusetts
Texas,"White/Caucasian, African American/Black",No,Heterosexual,Female,No,No,No,"$200,000 - $299,999",No,No,Private,My school did not offer,My school did not offer,2,My school did not offer,"Advocacy, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Research, Theater, Visual Art",No,No,Waitlist,,No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,College of Arts of Science,No,"Yes, as a pre-med student",Sutherland,Hank Ingram,"Yes, more than half the cost of attendance",No,"$1-$4,999","Yes, I plan to participate in Panhellenic recruitment",2,5,3,4,7,1,7,7,7,"Yes, in my home state/country",,2,Never,Never,None,N/A (I have never owned a fake ID)
Tennessee,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$300,000 - $499,999",No,No,Public,9,My school did not offer,10+,0,"Academic Clubs/Competition, Community Service, Family Responsibilities, Music, Model UN, Work/Internship (Paid)",No,No,EDI,UTK,Yes,1480,Yes,36,No,No,No,"Academics, Faculty, Post-grad opportunities","Campus tour, Commodore Launch",College of Arts of Science,No,"Yes, as a pre-med student",Gillette,Gillette,No,No,I don't know,No,4,5,5,1,3,1,6,5,3,"I am eligible to vote, but am not registered",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
Texas,"White/Caucasian, Asian/Pacific Islander",No,Heterosexual,Male,No,No,No,"$50,000 - $74,999",No,Yes,Public,10+,0,3,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Music",No,No,Regular Decision,Case Western University,No,,No,,No,No,No,"Location, Academics, Brand name/rankings",Commodore Launch,College of Arts of Science,No,"Yes, as a pre-med student",West,West,No,No,$0 ,Not sure,5,2,3,1,3,1,4,5,3,I am registered to vote but do not vote,Yes,3,Once a month,Never,None,N/A (I have never owned a fake ID)
Illinois,White/Caucasian,No,Bisexual/pansexual,Female,No,Yes,No,"$50,000 - $74,999",No,No,Public,8,My school did not offer,10+,My school did not offer,"Advocacy, Athletics, Family Responsibilities, Visual Art, Work/Internship (Paid)",No,No,Waitlist,"Colorado College, University of Michigan, University of Illinois, Smith College",Yes,1540,No,,No,No,No,"Cost, Location, Brand name/rankings",Commodore Launch,College of Arts of Science,"Yes, Peabody","Yes, as a pre-law student",West,Stambaugh,"Yes, more than half the cost of attendance",No,$0 ,Not sure,2,6,6,4,6,2,6,6,6,"Yes, in my home state/country",No,1,Once a month,Once a month,None,Illinois
South Dakota,White/Caucasian,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Private,10+,My school did not offer,10+,10+,"Academic Clubs/Competition, Athletics, Speech and Debate",Yes,No,Regular Decision,,No,,No,,No,No,No,"Location, Academics, Faculty",None,College of Arts of Science,No,"Yes, as a pre-med student",Gillette,Hank Ingram,No,No,I don't know,No,3,7,5,6,5,1,7,7,7,"Yes, in my home state/country",Yes,0,Once a month,Never,"Prescription Opioids (Oxy), Adderall",N/A (I have never owned a fake ID)
Washington,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$1,000,000 or more",No,No,Private,4,My school did not offer,3,My school did not offer,"Advocacy, Athletics, Internship (unpaid), Model UN, Work/Internship (Paid)",Yes,No,Regular Decision,,Yes,1500,No,,No,No,No,"Location, Academics, School size, Brand name/rankings, Campus",None,School of Engineering,"Yes, A&S","Yes, as a pre-law student",Hank Ingram,Hank Ingram,No,No,$0 ,Not sure,3,4,4,4,4,4,4,4,4,I am not eligible to vote,Yes,2,Once a semester,Never,None,N/A (I have never owned a fake ID)
Maryland,"White/Caucasian, African American/Black",No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,3,My school did not offer,My school did not offer,10+,"Athletics, Community Service, Internship (unpaid), Student Government, Work/Internship (Paid)",No,No,EDI,,No,,No,,No,No,No,"Cost, Academics, Brand name/rankings",None,College of Arts of Science,"Yes, Peabody",No,Hank Ingram,Hank Ingram,"Yes, full cost of attendence",No,$0 ,Not sure,5,7,2,2,4,1,5,1,5,"Yes, in my home state/country",Yes,2,Once a semester,Never,None,N/A (I have never owned a fake ID)
Kentucky,Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$0 - $49,999",No,No,Private,7,My school did not offer,6,1,"Academic Clubs/Competition, Community Service, Family Responsibilities, Research, Student Government",No,No,EDII,"IU Bloomington, University of Louisville",No,,No,,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings","Campus tour, Commodore Launch",College of Arts of Science,No,"Yes, as a pre-med student",North,North,"Yes, more than half the cost of attendance",No,$0 ,No,2,7,4,5,5,1,7,5,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
